IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
192.227.152.100,443,443,true,BUF,North America,US,Buffalo,292,3.72
18.191.122.211,443,443,true,CMH,North America,US,Columbus,262,3.64
150.230.21.243,443,443,true,FRA,Europe,DE,Frankfurt,262,3.55
84.8.145.58,443,443,true,LHR,Europe,GB,London,248,3.54
143.47.253.149,443,443,true,FRA,Europe,DE,Frankfurt,224,3.45
144.21.38.205,443,443,true,FRA,Europe,DE,Frankfurt,212,3.37
217.151.229.52,443,443,true,FRA,Europe,DE,Frankfurt,246,3.31
193.123.63.174,443,443,true,FRA,Europe,DE,Frankfurt,225,3.30
141.147.100.91,443,443,true,FRA,Europe,DE,Frankfurt,217,3.29
217.160.216.30,443,443,true,FRA,Europe,DE,Frankfurt,204,3.27
18.216.55.100,443,443,true,CMH,North America,US,Columbus,268,3.26
156.226.174.215,443,443,true,FRA,Europe,DE,Frankfurt,233,3.24
38.180.62.4,443,443,true,CDG,Europe,FR,Paris,245,3.22
150.230.22.128,443,443,true,FRA,Europe,DE,Frankfurt,248,3.10
34.88.63.160,443,443,true,ARN,Europe,SE,Stockholm,276,3.09
158.101.204.169,443,443,true,FRA,Europe,DE,Frankfurt,172,3.02
44.226.147.29,443,443,true,PDX,North America,US,Portland,182,3.02
34.193.164.187,443,443,true,IAD,North America,US,Ashburn,256,3.01
141.144.194.54,443,443,true,FRA,Europe,DE,Frankfurt,245,2.87
143.47.224.46,443,443,true,FRA,Europe,DE,Frankfurt,305,2.87
185.102.136.39,443,443,true,ARN,Europe,SE,Stockholm,309,2.86
91.239.148.100,443,443,true,AMS,Europe,NL,Amsterdam,279,2.84
192.236.249.100,443,443,true,AMS,Europe,NL,Amsterdam,250,2.69
3.109.185.221,443,443,true,BOM,Asia Pacific,IN,Mumbai,153,2.68
150.230.159.76,443,443,true,FRA,Europe,DE,Frankfurt,218,2.64
143.47.186.166,443,443,true,FRA,Europe,DE,Frankfurt,245,2.63
95.214.9.72,443,443,true,ARN,Europe,SE,Stockholm,220,2.63
192.210.161.147,443,443,true,YYZ,North America,CA,Toronto,228,2.63
192.236.249.95,443,443,true,AMS,Europe,NL,Amsterdam,293,2.62
158.101.214.54,443,443,true,AMS,Europe,NL,Amsterdam,291,2.61
140.238.122.65,443,443,true,FRA,Europe,DE,Frankfurt,254,2.45
141.144.201.17,443,443,true,FRA,Europe,DE,Frankfurt,243,2.41
185.184.223.47,443,443,true,NRT,Asia Pacific,JP,Tokyo,54,2.40
67.226.220.10,443,443,true,IAD,North America,US,Ashburn,254,2.37
67.226.223.141,443,443,true,LHR,Europe,GB,London,196,2.34
195.133.75.188,443,443,true,AMS,Europe,NL,Amsterdam,234,2.24
192.9.180.162,443,443,true,SYD,Oceania,AU,Sydney,169,2.23
185.140.12.239,443,443,true,FRA,Europe,DE,Frankfurt,230,2.23
204.110.223.86,443,443,true,CMH,North America,US,Columbus,202,2.17
194.58.68.145,443,443,true,AMS,Europe,NL,Amsterdam,240,2.12
101.32.169.113,443,443,true,SIN,Asia Pacific,SG,Singapore,192,2.07
107.173.171.241,443,443,true,BUF,North America,US,Buffalo,276,1.88
192.227.169.115,443,443,true,BUF,North America,US,Buffalo,267,1.79
95.142.45.147,443,443,true,LHR,Europe,GB,London,267,1.72
52.12.162.159,443,443,true,PDX,North America,US,Portland,171,1.70
44.209.255.249,443,443,true,IAD,North America,US,Ashburn,263,1.65
23.95.189.91,443,443,true,BUF,North America,US,Buffalo,270,1.64
84.235.164.100,443,443,true,FRA,Europe,DE,Frankfurt,221,1.63
46.32.184.115,443,443,true,RIX,Europe,LV,Riga,265,1.57
20.126.191.73,443,443,true,AMS,Europe,NL,Amsterdam,219,1.57
84.235.169.234,443,443,true,AMS,Europe,NL,Amsterdam,285,1.55
186.67.70.55,443,443,true,SCL,South America,CL,Santiago,322,1.47
132.226.206.206,443,443,true,FRA,Europe,DE,Frankfurt,178,1.45
52.40.102.162,443,443,true,PDX,North America,US,Portland,194,1.43
107.173.54.243,443,443,true,YYZ,North America,CA,Toronto,278,1.43
192.210.183.190,443,443,true,DUB,Europe,IE,Dublin,168,1.29
107.174.88.160,443,443,true,SJC,North America,US,San Jose,233,1.27
94.177.8.19,443,443,true,VIE,Europe,AT,Vienna,280,1.26
104.168.107.31,443,443,true,YYZ,North America,CA,Toronto,288,1.25
67.226.223.51,443,443,true,LHR,Europe,GB,London,208,1.20
204.110.223.157,443,443,true,CMH,North America,US,Columbus,266,1.17
107.175.35.49,443,443,true,BUF,North America,US,Buffalo,284,1.17
35.247.124.181,443,443,true,SEA,North America,US,Seattle,189,1.15
3.68.62.122,443,443,true,FRA,Europe,DE,Frankfurt,253,1.13
18.235.208.126,443,443,true,IAD,North America,US,Ashburn,256,1.10
3.249.49.224,443,443,true,DUB,Europe,IE,Dublin,216,1.07
172.93.165.228,443,443,true,MXP,Europe,IT,Milan,40,1.05
176.97.75.90,443,443,true,FRA,Europe,DE,Frankfurt,241,1.05
35.176.229.223,443,443,true,LHR,Europe,GB,London,206,1.04
204.110.223.92,443,443,true,CMH,North America,US,Columbus,264,1.03
43.206.192.211,443,443,true,NRT,Asia Pacific,JP,Tokyo,60,1.01
45.89.63.111,443,443,true,LHR,Europe,GB,London,212,0.94
52.10.78.7,443,443,true,PDX,North America,US,Portland,210,0.87
72.13.122.137,443,443,true,LAX,North America,US,Los Angeles,191,0.84
204.110.223.144,443,443,true,CMH,North America,US,Columbus,261,0.83
51.20.99.157,443,443,true,ARN,Europe,SE,Stockholm,221,0.79
94.177.8.50,443,443,true,VIE,Europe,AT,Vienna,323,0.76
154.16.16.24,443,443,true,AMS,Europe,NL,Amsterdam,202,0.74
3.67.25.193,443,443,true,FRA,Europe,DE,Frankfurt,258,0.72
206.223.84.247,443,443,true,LAX,North America,US,Los Angeles,140,0.72
204.110.223.105,443,443,true,CMH,North America,US,Columbus,266,0.71
67.226.223.138,443,443,true,LHR,Europe,GB,London,205,0.69
18.196.70.197,443,443,true,FRA,Europe,DE,Frankfurt,242,0.66
54.198.113.44,443,443,true,IAD,North America,US,Ashburn,225,0.65
172.245.226.156,443,443,true,DFW,North America,US,Dallas,206,0.64
45.85.93.49,443,443,true,GVA,Europe,CH,Geneva,314,0.56
35.212.160.116,443,443,true,SEA,North America,US,Seattle,218,0.55
18.159.105.97,443,443,true,FRA,Europe,DE,Frankfurt,251,0.51
107.172.141.245,443,443,true,YYZ,North America,CA,Toronto,291,0.49
23.94.5.177,443,443,true,YYZ,North America,CA,Toronto,276,0.49
193.218.188.71,443,443,true,BUF,North America,US,Buffalo,253,0.48
91.192.102.55,443,443,true,ZRH,Europe,CH,Zurich,209,0.46
198.46.190.116,443,443,true,DFW,North America,US,Dallas,237,0.45
3.68.31.54,443,443,true,FRA,Europe,DE,Frankfurt,254,0.43
67.226.221.242,443,443,true,SJC,North America,US,San Jose,170,0.42
172.245.156.220,443,443,true,BUF,North America,US,Buffalo,289,0.39
67.226.221.226,443,443,true,SJC,North America,US,San Jose,207,0.37
185.103.100.101,443,443,true,FRA,Europe,DE,Frankfurt,233,0.36
18.198.227.161,443,443,true,FRA,Europe,DE,Frankfurt,263,0.36
77.238.253.245,443,443,true,AMS,Europe,NL,Amsterdam,210,0.36
204.110.223.170,443,443,true,CMH,North America,US,Columbus,264,0.35
140.238.212.95,443,443,true,ZRH,Europe,CH,Zurich,251,0.34
146.235.199.164,443,443,true,SJC,North America,US,San Jose,178,0.32
124.156.202.172,443,443,true,SIN,Asia Pacific,SG,Singapore,222,0.31
45.129.199.232,443,443,true,ARN,Europe,SE,Stockholm,358,0.30
43.153.105.7,443,443,true,SJC,North America,US,San Jose,201,0.30
35.182.7.190,443,443,true,YUL,North America,CA,Montréal,230,0.29
107.172.159.182,443,443,true,JAX,North America,US,Jacksonville,248,0.28
3.120.212.75,443,443,true,FRA,Europe,DE,Frankfurt,234,0.27
124.156.238.155,443,443,true,NRT,Asia Pacific,JP,Tokyo,62,0.27
80.76.32.12,443,443,true,FRA,Europe,DE,Frankfurt,234,0.26
172.245.54.238,443,443,true,SJC,North America,US,San Jose,177,0.25
107.175.37.135,443,443,true,YYZ,North America,CA,Toronto,258,0.23
107.173.171.11,443,443,true,YYZ,North America,CA,Toronto,271,0.23
212.113.106.102,443,443,true,FRA,Europe,DE,Frankfurt,342,0.22
185.94.165.218,443,443,true,AMS,Europe,NL,Amsterdam,294,0.20
107.173.55.219,443,443,true,BUF,North America,US,Buffalo,262,0.20
192.210.183.179,443,443,true,DUB,Europe,IE,Dublin,169,0.19
94.177.8.6,443,443,true,VIE,Europe,AT,Vienna,272,0.18
43.153.78.145,443,443,true,SJC,North America,US,San Jose,196,0.18
67.226.223.249,443,443,true,LHR,Europe,GB,London,211,0.15
94.177.8.54,443,443,true,VIE,Europe,AT,Vienna,340,0.14
192.236.249.108,443,443,true,AMS,Europe,NL,Amsterdam,290,0.14
107.173.144.100,443,443,true,BUF,North America,US,Buffalo,221,0.13
213.255.209.189,443,443,true,YYZ,North America,CA,Toronto,286,0.13
192.236.249.104,443,443,true,AMS,Europe,NL,Amsterdam,281,0.12
94.177.8.62,443,443,true,VIE,Europe,AT,Vienna,263,0.10
198.46.143.134,443,443,true,BUF,North America,US,Buffalo,242,0.10
185.104.250.204,443,443,true,LED,Europe,RU,Saint Petersburg,223,0.09
80.209.243.147,443,443,true,EWR,North America,US,Newark,287,0.09
207.174.31.150,443,443,true,JAX,North America,US,Jacksonville,258,0.08
81.22.132.243,443,443,true,AMS,Europe,NL,Amsterdam,311,0.08
46.101.243.68,443,443,true,FRA,Europe,DE,Frankfurt,240,0.08
67.226.221.134,443,443,true,SJC,North America,US,San Jose,194,0.07
107.174.63.237,443,443,true,YYZ,North America,CA,Toronto,276,0.07
52.89.138.13,443,443,true,PDX,North America,US,Portland,201,0.07
107.172.180.56,443,443,true,SEA,North America,US,Seattle,235,0.07
107.173.251.119,443,443,true,BUF,North America,US,Buffalo,250,0.06
91.192.102.92,443,443,true,ZRH,Europe,CH,Zurich,214,0.06
104.168.114.123,443,443,true,BUF,North America,US,Buffalo,272,0.06
2.59.183.210,443,443,true,AMS,Europe,NL,Amsterdam,334,0.05
45.95.173.22,443,443,true,FRA,Europe,DE,Frankfurt,297,0.04
2.59.183.198,443,443,true,AMS,Europe,NL,Amsterdam,324,0.03
38.180.15.45,443,443,true,MXP,Europe,IT,Milan,320,0.03
