IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.101.213.45,443,443,true,FRA,Europe,DE,Frankfurt,164,0.41
198.12.89.147,443,443,true,BUF,North America,US,Buffalo,200,0.39
172.245.97.149,443,443,true,DUB,Europe,IE,Dublin,238,0.35
141.147.96.220,443,443,true,FRA,Europe,DE,Frankfurt,267,0.35
35.182.7.190,443,443,true,YUL,North America,CA,Montréal,212,0.33
94.103.95.115,443,443,true,DME,Europe,RU,Moscow,252,0.33
8.219.152.115,443,443,true,SIN,Asia Pacific,SG,Singapore,207,0.32
94.177.8.21,443,443,true,VIE,Europe,AT,Vienna,238,0.32
104.168.102.163,443,443,true,SJC,North America,US,San Jose,154,0.31
94.177.8.9,443,443,true,VIE,Europe,AT,Vienna,267,0.31
15.236.133.224,443,443,true,CDG,Europe,FR,Paris,198,0.30
154.17.236.6,443,443,true,LAX,North America,US,Los Angeles,158,0.29
192.236.249.111,443,443,true,AMS,Europe,NL,Amsterdam,243,0.28
94.177.8.8,443,443,true,VIE,Europe,AT,Vienna,240,0.28
107.175.193.134,443,443,true,AMS,Europe,NL,Amsterdam,267,0.27
185.229.225.229,443,443,true,AMS,Europe,NL,Amsterdam,244,0.27
204.110.223.112,443,443,true,CMH,North America,US,Columbus,195,0.27
192.236.249.99,443,443,true,AMS,Europe,NL,Amsterdam,255,0.27
23.94.5.177,443,443,true,BUF,North America,US,Buffalo,221,0.18
185.242.106.215,443,443,true,RIX,Europe,LV,Riga,261,0.18
94.177.8.5,443,443,true,VIE,Europe,AT,Vienna,242,0.18
129.153.203.73,443,443,true,LAX,North America,US,Los Angeles,171,0.18
194.147.33.13,443,443,true,AMS,Europe,NL,Amsterdam,275,0.16
181.36.229.212,443,443,true,SDQ,North America,DO,Santo Domingo,251,0.16
143.47.237.176,443,443,true,FRA,Europe,DE,Frankfurt,254,0.16
192.236.249.95,443,443,true,AMS,Europe,NL,Amsterdam,234,0.15
107.174.254.246,443,443,true,SJC,North America,US,San Jose,135,0.15
185.204.52.112,443,443,true,AMS,Europe,NL,Amsterdam,265,0.15
2.59.183.77,443,443,true,AMS,Europe,NL,Amsterdam,207,0.14
18.135.67.188,443,443,true,LHR,Europe,GB,London,231,0.13
38.180.105.164,443,443,true,IST,Europe,TR,Istanbul,262,0.13
45.154.207.101,443,443,true,FRA,Europe,DE,Frankfurt,217,0.13
107.172.212.186,443,443,true,SJC,North America,US,San Jose,138,0.12
23.94.107.102,443,443,true,AMS,Europe,NL,Amsterdam,261,0.11
52.40.102.162,443,443,true,PDX,North America,US,Portland,177,0.11
185.94.165.218,443,443,true,AMS,Europe,NL,Amsterdam,255,0.09
35.167.93.200,443,443,true,PDX,North America,US,Portland,186,0.08
18.197.218.69,443,443,true,FRA,Europe,DE,Frankfurt,182,0.08
204.110.223.55,443,443,true,CMH,North America,US,Columbus,194,0.08
52.74.101.26,443,443,true,SIN,Asia Pacific,SG,Singapore,78,0.08
192.236.249.94,443,443,true,AMS,Europe,NL,Amsterdam,242,0.07
35.183.163.195,443,443,true,YUL,North America,CA,Montréal,241,0.07
193.84.2.64,443,443,true,HEL,Europe,FI,Helsinki,305,0.07
23.95.167.166,443,443,true,DUB,Europe,IE,Dublin,247,0.07
192.236.249.105,443,443,true,AMS,Europe,NL,Amsterdam,280,0.06
185.237.219.169,443,443,true,RIX,Europe,LV,Riga,188,0.05
18.191.122.211,443,443,true,CMH,North America,US,Columbus,222,0.05
67.226.221.55,443,443,true,SJC,North America,US,San Jose,207,0.04
18.135.188.86,443,443,true,LHR,Europe,GB,London,215,0.04
37.187.98.185,443,443,true,CDG,Europe,FR,Paris,195,0.03
51.20.99.157,443,443,true,ARN,Europe,SE,Stockholm,243,0.03
3.86.231.180,443,443,true,IAD,North America,US,Ashburn,243,0.03
185.106.176.128,443,443,true,HKG,Asia Pacific,HK,Hong Kong,38,0.02
152.67.203.34,443,443,true,ICN,Asia Pacific,KR,Seoul,125,0.00
80.76.32.165,443,443,true,FRA,Europe,DE,Frankfurt,221,0.00
193.123.36.26,443,443,true,FRA,Europe,DE,Frankfurt,178,0.00
45.86.228.104,443,443,true,DXB,Middle East,AE,Dubai,146,0.00
