IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.20.125.1,443,443,true,SFO,North America,US,San Francisco,140,21.14
185.151.243.200,443,443,true,LED,Europe,RU,Saint Petersburg,193,14.01
18.222.50.18,443,443,true,CMH,North America,US,Columbus,216,11.89
91.149.239.122,443,443,true,LAX,North America,US,Los Angeles,156,11.49
192.3.155.203,443,443,true,YYZ,North America,CA,Toronto,211,10.06
172.245.226.156,443,443,true,DFW,North America,US,Dallas,192,9.94
158.101.222.11,443,443,true,FRA,Europe,DE,Frankfurt,171,7.93
96.8.121.29,443,443,true,SEA,North America,US,Seattle,180,7.73
107.173.54.243,443,443,true,BUF,North America,US,Buffalo,191,7.06
51.96.69.180,443,443,true,ZRH,Europe,CH,Zurich,221,7.02
3.123.242.99,443,443,true,FRA,Europe,DE,Frankfurt,243,6.61
192.9.139.160,443,443,true,SJC,North America,US,San Jose,136,6.45
66.85.139.204,443,443,true,PHX,North America,US,Phoenix,174,5.94
104.248.128.137,443,443,true,FRA,Europe,DE,Frankfurt,262,5.70
49.51.179.33,443,443,true,SJC,North America,US,San Jose,151,5.63
34.212.240.129,443,443,true,PDX,North America,US,Portland,185,5.54
94.177.8.2,443,443,true,VIE,Europe,AT,Vienna,248,5.52
154.16.16.24,443,443,true,AMS,Europe,NL,Amsterdam,255,5.49
52.11.38.216,443,443,true,PDX,North America,US,Portland,164,5.36
107.175.183.62,443,443,true,ATL,North America,US,Atlanta,238,5.33
192.210.175.188,443,443,true,AMS,Europe,NL,Amsterdam,254,5.29
2.59.183.25,443,443,true,AMS,Europe,NL,Amsterdam,222,5.11
8.219.106.236,443,443,true,SIN,Asia Pacific,SG,Singapore,193,5.06
3.68.31.54,443,443,true,FRA,Europe,DE,Frankfurt,173,4.89
141.147.104.248,443,443,true,FRA,Europe,DE,Frankfurt,281,4.77
143.47.179.71,443,443,true,FRA,Europe,DE,Frankfurt,233,4.62
156.226.174.215,443,443,true,FRA,Europe,DE,Frankfurt,247,4.60
193.123.56.130,443,443,true,FRA,Europe,DE,Frankfurt,222,4.51
91.149.254.138,443,443,true,ARN,Europe,SE,Stockholm,255,4.31
23.94.233.164,443,443,true,SJC,North America,US,San Jose,147,4.26
141.147.14.88,443,443,true,FRA,Europe,DE,Frankfurt,245,4.17
107.172.145.153,443,443,true,DUB,Europe,IE,Dublin,244,4.02
109.104.153.94,443,443,true,AMS,Europe,NL,Amsterdam,256,3.70
34.225.195.136,443,443,true,IAD,North America,US,Ashburn,242,3.65
35.157.240.237,443,443,true,FRA,Europe,DE,Frankfurt,160,3.58
158.101.210.148,443,443,true,FRA,Europe,DE,Frankfurt,206,3.24
152.70.60.208,443,443,true,FRA,Europe,DE,Frankfurt,221,3.10
18.192.93.64,443,443,true,FRA,Europe,DE,Frankfurt,160,2.97
134.185.97.131,443,443,true,SIN,Asia Pacific,SG,Singapore,224,2.87
158.178.145.161,443,443,true,FRA,Europe,DE,Frankfurt,199,2.75
45.82.80.96,443,443,true,ARN,Europe,SE,Stockholm,264,2.66
94.177.8.40,443,443,true,VIE,Europe,AT,Vienna,254,2.64
80.76.34.13,443,443,true,AMS,Europe,NL,Amsterdam,243,2.60
34.230.210.239,443,443,true,IAD,North America,US,Ashburn,211,2.59
54.208.96.155,443,443,true,IAD,North America,US,Ashburn,222,2.48
143.47.252.254,443,443,true,FRA,Europe,DE,Frankfurt,255,2.30
8.219.133.61,443,443,true,SIN,Asia Pacific,SG,Singapore,222,2.17
107.174.63.237,443,443,true,BUF,North America,US,Buffalo,188,2.08
140.238.212.95,443,443,true,ZRH,Europe,CH,Zurich,296,1.93
51.254.6.14,443,443,true,CDG,Europe,FR,Paris,199,1.88
2.59.183.56,443,443,true,AMS,Europe,NL,Amsterdam,251,1.83
213.183.48.227,443,443,true,DME,Europe,RU,Moscow,305,1.81
94.247.42.207,443,443,true,ZRH,Europe,CH,Zurich,238,1.67
43.157.20.226,443,443,true,AMS,Europe,NL,Amsterdam,267,1.52
138.2.134.226,443,443,true,FRA,Europe,DE,Frankfurt,240,1.32
155.138.128.135,443,443,true,YYZ,North America,CA,Toronto,198,1.22
217.29.23.169,443,443,true,AKX,Asia Pacific,KZ,Aktobe,261,1.14
72.13.122.137,443,443,true,LAX,North America,US,Los Angeles,165,1.13
195.133.79.154,443,443,true,AMS,Europe,NL,Amsterdam,243,1.12
35.95.237.8,443,443,true,PDX,North America,US,Portland,206,1.09
141.147.114.60,443,443,true,LHR,Europe,GB,London,263,1.09
94.177.8.50,443,443,true,VIE,Europe,AT,Vienna,262,1.08
13.60.123.193,443,443,true,ARN,Europe,SE,Stockholm,230,0.98
35.212.160.116,443,443,true,SEA,North America,US,Seattle,271,0.94
8.219.133.25,443,443,true,SIN,Asia Pacific,SG,Singapore,221,0.94
204.110.223.73,443,443,true,CMH,North America,US,Columbus,211,0.91
193.123.33.72,443,443,true,FRA,Europe,DE,Frankfurt,187,0.74
3.69.0.8,443,443,true,FRA,Europe,DE,Frankfurt,228,0.66
38.180.100.80,443,443,true,FRA,Europe,DE,Frankfurt,190,0.65
52.12.162.159,443,443,true,PDX,North America,US,Portland,187,0.62
195.141.59.27,443,443,true,ZRH,Europe,CH,Zurich,221,0.57
154.21.83.154,443,443,true,LAX,North America,US,Los Angeles,142,0.54
192.236.249.107,443,443,true,AMS,Europe,NL,Amsterdam,227,0.49
18.216.55.100,443,443,true,CMH,North America,US,Columbus,247,0.45
