IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
185.94.165.200,443,443,TRUE,AMS,Europe,NL,Amsterdam,157,8.45
80.76.34.190,443,443,TRUE,AMS,Europe,NL,Amsterdam,194,8.37
204.110.223.187,443,443,TRUE,CMH,North America,US,Columbus,196,8.2
94.103.95.115,443,443,TRUE,DME,Europe,RU,Moscow,251,8.16
185.94.164.72,443,443,TRUE,AMS,Europe,NL,Amsterdam,173,8.12
67.226.220.10,443,443,TRUE,IAD,North America,US,Ashburn,225,8.03
154.21.83.154,443,443,TRUE,LAX,North America,US,Los Angeles,145,18.92
129.146.46.164,443,443,TRUE,LAX,North America,US,Los Angeles,301,18.41
46.3.96.64,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,79,17.46
185.151.243.200,443,443,TRUE,LED,Europe,RU,Saint Petersburg,232,14.6
192.9.139.160,443,443,TRUE,SJC,North America,US,San Jose,146,12.97
23.185.168.180,443,443,TRUE,LAX,North America,US,Los Angeles,138,12.66
23.94.233.164,443,443,TRUE,SJC,North America,US,San Jose,143,11.75
52.12.162.159,443,443,TRUE,PDX,North America,US,Portland,176,11.51
3.120.212.75,443,443,TRUE,FRA,Europe,DE,Frankfurt,177,11.18
2.59.183.219,443,443,TRUE,AMS,Europe,NL,Amsterdam,236,10.69
52.55.146.127,443,443,TRUE,IAD,North America,US,Ashburn,206,10.43
23.94.13.28,443,443,TRUE,ATL,North America,US,Atlanta,219,10
18.191.122.211,443,443,TRUE,CMH,North America,US,Columbus,201,9.98
18.135.188.86,443,443,TRUE,LHR,Europe,GB,London,198,9.9
3.82.153.90,443,443,TRUE,IAD,North America,US,Ashburn,198,9.66
34.193.164.187,443,443,TRUE,IAD,North America,US,Ashburn,220,9.55
23.95.113.61,443,443,TRUE,IAD,North America,US,Ashburn,207,9.53
158.101.212.30,443,443,TRUE,FRA,Europe,DE,Frankfurt,198,9.13
51.20.99.157,443,443,TRUE,ARN,Europe,SE,Stockholm,209,8.89
18.135.67.188,443,443,TRUE,LHR,Europe,GB,London,246,8.76
3.138.59.154,443,443,TRUE,CMH,North America,US,Columbus,211,8.76
185.94.165.218,443,443,TRUE,AMS,Europe,NL,Amsterdam,236,8.08
192.236.249.91,443,443,TRUE,AMS,Europe,NL,Amsterdam,268,8.06
13.229.159.215,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,87,21.73
154.21.83.154,443,443,TRUE,LAX,North America,US,Los Angeles,140,20.72
192.3.105.206,443,443,TRUE,DFW,North America,US,Dallas,197,13.58
23.185.168.180,443,443,TRUE,LAX,North America,US,Los Angeles,142,12.47
192.227.169.115,443,443,TRUE,BUF,North America,US,Buffalo,219,11.51
31.25.88.236,443,443,TRUE,FRA,Europe,DE,Frankfurt,182,11.22
91.149.239.198,443,443,TRUE,LAX,North America,US,Los Angeles,153,10.11
